Model,MSO2024
Firmware Version,1.39

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-05,
Sample Interval,1e-09,
Filter Frequency,2e+08,
Record Length,100000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.2,0.2
Label,,
TIME,CH1,CH2
-4.97629e-05,0.008,-0.00799999
-4.97619e-05,0.008,7.62939e-09
-4.97609e-05,0.008,-0.00799999
-4.97599e-05,0.008,7.62939e-09
-4.97589e-05,0.008,-0.00799999
-4.97579e-05,0.008,7.62939e-09
-4.97569e-05,0.008,-0.00799999
-4.97559e-05,0.008,7.62939e-09
-4.97549e-05,0.008,-0.00799999
-4.97539e-05,0.008,7.62939e-09
-4.97529e-05,0.008,-0.00799999
-4.97519e-05,0.008,7.62939e-09
-4.97509e-05,0.008,-0.00799999
-4.97499e-05,0.008,7.62939e-09
-4.97489e-05,0.008,-0.00799999
-4.97479e-05,0.008,7.62939e-09
-4.97469e-05,0.008,-0.00799999
-4.97459e-05,0.008,7.62939e-09
-4.97449e-05,0.008,-0.00799999
-4.97439e-05,0.008,7.62939e-09
-4.97429e-05,0.008,-0.00799999
-4.97419e-05,0.008,7.62939e-09
-4.97409e-05,0.008,-0.00799999
-4.97399e-05,0.008,7.62939e-09
-4.97389e-05,0.008,-0.00799999
-4.97379e-05,0.008,7.62939e-09
-4.97369e-05,0.008,-0.00799999
-4.97359e-05,0.008,7.62939e-09
-4.97349e-05,0.008,-0.00799999
-4.97339e-05,0.008,7.62939e-09
-4.97329e-05,0.008,-0.00799999
-4.97319e-05,0.008,-0.00799999
-4.97309e-05,0.008,-0.00799999
-4.97299e-05,0.008,7.62939e-09
-4.97289e-05,0.008,7.62939e-09
-4.97279e-05,0.008,7.62939e-09
-4.97269e-05,0.008,-0.00799999
-4.97259e-05,0.008,7.62939e-09
-4.97249e-05,0.008,-0.00799999
-4.97239e-05,0.008,7.62939e-09
-4.97229e-05,0.008,-0.00799999
-4.97219e-05,0.008,7.62939e-09
-4.97209e-05,0.008,-0.00799999
-4.97199e-05,0.008,7.62939e-09
-4.97189e-05,0.008,-0.00799999
-4.97179e-05,0.008,7.62939e-09
-4.97169e-05,0.008,-0.00799999
-4.97159e-05,0.008,7.62939e-09
-4.97149e-05,0.008,-0.00799999
-4.97139e-05,0.008,7.62939e-09
-4.97129e-05,0.008,-0.00799999
-4.97119e-05,0.008,7.62939e-09
-4.97109e-05,0.008,-0.00799999
-4.97099e-05,0.008,7.62939e-09
-4.97089e-05,0.008,-0.00799999
-4.97079e-05,0.008,7.62939e-09
-4.97069e-05,0.008,-0.00799999
-4.97059e-05,0.008,-0.00799999
-4.97049e-05,0.008,-0.00799999
-4.97039e-05,0.008,-0.00799999
-4.97029e-05,0.008,-0.00799999
-4.97019e-05,0.008,7.62939e-09
-4.97009e-05,0.008,-0.00799999
-4.96999e-05,0.008,7.62939e-09
-4.96989e-05,0.008,-0.00799999
-4.96979e-05,0,7.62939e-09
-4.96969e-05,0,-0.00799999
-4.96959e-05,0.008,7.62939e-09
-4.96949e-05,0,-0.00799999
-4.96939e-05,0.008,7.62939e-09
-4.96929e-05,0.008,-0.00799999
-4.96919e-05,0.008,7.62939e-09
-4.96909e-05,0.008,-0.00799999
-4.96899e-05,0.008,7.62939e-09
-4.96889e-05,0.008,-0.00799999
-4.96879e-05,0,7.62939e-09
-4.96869e-05,0.008,-0.00799999
-4.96859e-05,0,7.62939e-09
-4.96849e-05,0,-0.00799999
-4.96839e-05,0.008,7.62939e-09
-4.96829e-05,0.008,-0.00799999
-4.96819e-05,0.008,7.62939e-09
-4.96809e-05,0.008,-0.00799999
-4.96799e-05,0.008,7.62939e-09
